"Year","season","Species","Family","Trawls","Trawls_Efforts","Wt","Num","RelWt","RelNum","ERelWt","ERelNum","Total_Wt","Total_Num","Prop_Wt","Prop_Num"
1963,"FALL","ALEWIFE","HERRING",14,114.8,2.3275,15.575,0.16625,1.1125,0.0202743902439024,0.135670731707317,244.030502710519,754.135411426516,0.00953774210251492,0.0206527896237341
1963,"FALL","ATLANTIC HERRING","HERRING",14,114.8,2.29886363636364,9.30681818181818,0.164204545454545,0.664772727272727,0.0200249445676275,0.081069844789357,244.030502710519,754.135411426516,0.00942039462620236,0.0123410438507502
1963,"FALL","ATLANTIC MACKEREL","MACKEREL",14,114.8,0.0536741214057508,0.536741214057508,0.00383386581469649,0.0383386581469649,0.000467544611548352,0.00467544611548352,244.030502710519,754.135411426516,0.000219948411405855,0.000711730553856651
1963,"FALL","BLUEBACK HERRING","HERRING",14,114.8,0,0,0,0,0,0,0,0,0,0
1963,"FALL","BUTTERFISH","BUTTERFISH",14,114.8,0.3125,1.25,0.0223214285714286,0.0892857142857143,0.00272212543554007,0.0108885017421603,244.030502710519,754.135411426516,0.00128057761849019,0.00165752725712152
1963,"FALL","NORTHERN SAND LANCE","SAND LANCE",14,114.8,0,0,0,0,0,0,0,0,0,0
1963,"FALL","POLLOCK","POLLOCK",14,114.8,172.009090909091,36.3181818181818,12.2863636363636,2.59415584415584,1.49833702882483,0.316360468799493,244.030502710519,754.135411426516,0.704867174384082,0.0481587010341852
1963,"FALL","RED HAKE","HAKE",14,114.8,4.12490421455939,11.3716475095785,0.29463601532567,0.812260536398467,0.0359312213811793,0.0990561629754229,244.030502710519,754.135411426516,0.0169032320498579,0.0150790525644036
1963,"FALL","SILVER HAKE","HAKE",14,114.8,60.3816056118472,677.844115354638,4.31297182941766,48.4174368110455,0.525972174319227,5.90456546476165,244.030502710519,754.135411426516,0.247434664688106,0.898836077823786
1963,"FALL","WHITE HAKE","HAKE",14,114.8,2.5223642172524,1.93290734824281,0.180168872660885,0.138064810588772,0.0219718137391324,0.016837172023021,244.030502710519,754.135411426516,0.0103362661193406,0.00256307729216234
