ID,Year,decade,season,Date_and_Time,AREA,LONG,LAT,dist,depth,catchTotal,ALEWIFE,ATLANTIC_HERRING,ATLANTIC_MACKEREL,BLUEBACK_HERRING,BUTTERFISH,NORTHERN_SAND_LANCE,POLLOCK,RED_HAKE,SILVER_HAKE,WHITE_HAKE
19630712604,1963,1960s,FALL,11/14/1963 1:46,514,-70.25,42.3,80.10420481,-33,1.9479102,0.175,0.153409091,0,0,0,0,0,0.053639847,1.565861263,0
1.96307E+12,1963,1960s,FALL,12/3/1963 7:30,521,-69.65,41.616667,170.0098466,-57,12.05141849,0.35,0,0,0,2.7,0,0,0.053639847,8.947778644,0
1.96307E+11,1963,1960s,FALL,11/26/1963 12:10,522,-68.166667,41.816667,238.7613028,-91,32.36350686,0.175,0.051136364,0,0,28.8,0,0,0.16091954,3.131722525,0.044728435
1.96307E+11,1963,1960s,FALL,11/26/1963 13:25,522,-68.15,41.75,244.0306474,-45,0.7,0.7,0,0,0,0,0,0,0,0,0
1.96307E+11,1963,1960s,FALL,11/19/1963 10:36,511,-67.166667,43.966667,300.2268184,-130,3.736181276,0.525,2.352272727,0,0,0,0,0,0.053639847,0.671083398,0.134185304
1.96307E+11,1963,1960s,FALL,11/16/1963 7:30,522,-68.733333,42.283333,172.2630879,-208,23.77019863,0.175,0,0,0,0,0,0,0.107279693,23.48791894,0
1.96307E+11,1963,1960s,FALL,11/18/1963 18:48,515,-68.083333,43.116667,207.0870187,-174,55.29358835,0.175,0.102272727,0.166666667,0,0,0,0,0.268199234,54.58144973,0
1.96307E+11,1963,1960s,FALL,11/26/1963 14:40,522,-68.233333,41.766667,237.297538,-67,12.67716029,1.225,0,0,0,2.25,0,0,5.846743295,3.355416991,0
1.96307E+12,1963,1960s,FALL,12/4/1963 10:57,521,-69.3,41.7,177.8619782,-198,72.80379148,0.175,0,0,0,0,0,0,0.375478927,72.25331255,0
19630712601,1963,1960s,FALL,11/13/1963 19:14,514,-70.233333,42.1,101.4330688,-61,14.5791891,0.35,0,0,0,0,0,0,2.574712644,11.63211224,0.022364217
1.96307E+11,1963,1960s,FALL,11/15/1963 11:00,515,-69.233333,42.85,113.9969587,-144,43.18618375,0.175,5.931818182,0,0,0,0,0,0.214559387,36.68589244,0.178913738
19630714009,1963,1960s,FALL,11/14/1963 16:40,514,-70.7,42.8,19.43048117,-38,19.59601516,3.325,0,0,0,0,0,0,0.590038314,15.65861263,0.022364217
1.96307E+11,1963,1960s,FALL,11/26/1963 10:44,522,-68.1,41.883333,239.5028657,-154,5.05976042,0.175,0.357954545,0,0,0,0,0,0.858237548,3.579111458,0.089456869
1.96307E+12,1963,1960s,FALL,12/7/1963 15:55,521,-69.166667,41.1,239.7431067,-69,1.295914228,0.35,0.051136364,0,0,0,0,0,0,0.894777864,0
19630712606,1963,1960s,FALL,11/14/1963 7:04,514,-70.25,42.333333,76.69206521,-36,0.622388932,0.175,0,0,0,0,0,0,0,0.447388932,0
1.96307E+11,1963,1960s,FALL,11/18/1963 8:05,515,-68.166667,42.333333,212.853508,-189,49.16408807,0.175,0,0,0,0,0,0,0,48.98908807,0
1.96307E+11,1963,1960s,FALL,11/21/1963 4:45,464,-66.833333,42.5,313.7505173,-283,0.175,0.175,0,0,0,0,0,0,0,0,0
1.96307E+11,1963,1960s,FALL,11/14/1963 17:55,513,-70.65,42.833333,14.88175317,-70,20.74906603,0.35,0,0.166666667,0,0,0,0,3.432950192,16.77708496,0.022364217
1.96307E+11,1963,1960s,FALL,11/26/1963 3:05,522,-67.9,41.916667,252.0326791,-69,8.972453884,0.35,0.051136364,0,0,4.05,0,0,2.038314176,2.460639127,0.022364217
1.96307E+12,1963,1960s,FALL,12/7/1963 12:15,522,-68.566667,41.116667,266.5949031,-53,109.7736945,2.45,0,0,0,107.1,0,0,0,0.223694466,0
1.96307E+12,1963,1960s,FALL,12/4/1963 14:05,521,-69.033333,41.483333,210.4607187,-145,8.304004843,0.175,0,0,0,0,0,0,0.053639847,8.053000779,0.022364217
1.96307E+12,1963,1960s,FALL,12/4/1963 15:50,521,-68.85,41.35,231.5547497,-127,9.054871623,2.1,0.051136364,0.166666667,0,0,0,0,0.697318008,6.039750585,0
19630712602,1963,1960s,FALL,11/13/1963 22:01,514,-70.25,42.166667,93.97409837,-35,8.106579041,0.175,0.102272727,0,0,0,0,0,0,7.829306313,0
19630712607,1963,1960s,FALL,11/14/1963 10:40,514,-70.283333,42.433333,65.43659935,-59,2.586532176,0.175,0.102272727,0,0,0.9,0,0,0,1.342166797,0.067092652
1.96307E+11,1963,1960s,FALL,11/20/1963 11:50,465,-67.133333,43.233333,284.8320548,-208,1.259983327,0.525,0.153409091,0,0,0,0,0,0,0.447388932,0.134185304
