"Year","season","Trawls","Trawls_Efforts","Family","Species","trawlCatch_Num","trawlMeasured_Num","propMeasured","propMeasured_catchable","trawlCatch_catchableNum","trawlCatch_catchablePerTrawl","trawlCatch_catchablePerEffort"
"1963","FALL",101,176.633333333333,"HERRING","ALEWIFE",154,80,0.519480519480519,0.175,26.95,0.266831683168317,0.152575957727873
"1963","FALL",101,176.633333333333,"HERRING","ATLANTIC HERRING",568,176,0.309859154929577,0.0511363636363636,29.0454545454545,0.287578757875788,0.164439259551545
"1963","FALL",101,176.633333333333,"MACKEREL","ATLANTIC MACKEREL",6,6,1,0.166666666666667,1,0.0099009900990099,0.00566144555576524
"1963","FALL",101,176.633333333333,"HERRING","BLUEBACK HERRING",4,4,1,0,0,0,0
"1963","FALL",101,176.633333333333,"BUTTERFISH","BUTTERFISH",325,40,0.123076923076923,0.45,146.25,1.4480198019802,0.827986412530666
"1963","FALL",101,176.633333333333,"SAND LANCE","NORTHERN SAND LANCE",2,2,1,0,0,0,0
"1963","FALL",101,176.633333333333,"POLLOCK","POLLOCK",203,175,0.862068965517241,0,0,0,0
"1963","FALL",101,176.633333333333,"HAKE","RED HAKE",879,522,0.593856655290102,0.053639846743295,47.1494252873563,0.466825992944122,0.266933904249989
"1963","FALL",101,176.633333333333,"HAKE","SILVER HAKE",14389,1283,0.0891653346306206,0.22369446609509,3218.73967264224,31.8687096301212,18.2227194148457
"1963","FALL",101,176.633333333333,"HAKE","WHITE HAKE",399,313,0.784461152882206,0.0223642172523962,8.92332268370607,0.0883497295416443,0.0505189055503269
"1964","FALL",83,144.666666666667,"HERRING","ALEWIFE",21,12,0.571428571428571,0.166666666666667,3.5,0.0421686746987952,0.0241935483870968
"1964","FALL",83,144.666666666667,"HERRING","ATLANTIC HERRING",96,54,0.5625,0.0185185185185185,1.77777777777778,0.0214190093708166,0.0122887864823349
"1964","FALL",83,144.666666666667,"BUTTERFISH","BUTTERFISH",9,6,0.666666666666667,0,0,0,0
"1964","FALL",83,144.666666666667,"SAND LANCE","NORTHERN SAND LANCE",2,2,1,0.5,1,0.0120481927710843,0.00691244239631336
"1964","FALL",83,144.666666666667,"POLLOCK","POLLOCK",204,122,0.598039215686274,0,0,0,0
"1964","FALL",83,144.666666666667,"HAKE","RED HAKE",443,244,0.55079006772009,0.040983606557377,18.155737704918,0.218743827770097,0.125500491047821
"1964","FALL",83,144.666666666667,"HAKE","SILVER HAKE",1623,653,0.40234134319162,0.0949464012251149,154.098009188361,1.8566025203417,1.06519361190112
"1964","FALL",83,144.666666666667,"HAKE","WHITE HAKE",130,118,0.907692307692308,0,0,0,0
"1965","FALL",81,141.341666666667,"HERRING","ALEWIFE",160,67,0.41875,0.0149253731343284,2.38805970149254,0.0294822185369449,0.016895652625382
"1965","FALL",81,141.341666666667,"HERRING","ATLANTIC HERRING",181,74,0.408839779005525,0.0405405405405405,7.33783783783784,0.0905905905905906,0.0519156028854749
"1965","FALL",81,141.341666666667,"MACKEREL","ATLANTIC MACKEREL",33,12,0.363636363636364,0,0,0,0
"1965","FALL",81,141.341666666667,"BUTTERFISH","BUTTERFISH",93,29,0.311827956989247,0.275862068965517,25.6551724137931,0.316730523627075,0.181511743980613
"1965","FALL",81,141.341666666667,"SAND LANCE","NORTHERN SAND LANCE",1184,18,0.0152027027027027,0.166666666666667,197.333333333333,2.43621399176955,1.3961440952774
"1965","FALL",81,141.341666666667,"POLLOCK","POLLOCK",83,81,0.975903614457831,0,0,0,0
"1965","FALL",81,141.341666666667,"HAKE","RED HAKE",234,161,0.688034188034188,0.0124223602484472,2.90683229813665,0.0358868184955141,0.0205659970388773
"1965","FALL",81,141.341666666667,"HAKE","SILVER HAKE",2596,576,0.221879815100154,0.0815972222222222,211.826388888889,2.61514060356653,1.49868325373897
"1965","FALL",81,141.341666666667,"HAKE","WHITE HAKE",359,300,0.835654596100279,0.00333333333333333,1.19666666666667,0.0147736625514403,0.00846648192913154
"1966","FALL",76,133.058333333333,"HERRING","ALEWIFE",309,63,0.203883495145631,0.0952380952380952,29.4285714285714,0.387218045112782,0.22117044976693
"1966","FALL",76,133.058333333333,"HERRING","ATLANTIC HERRING",207,97,0.468599033816425,0.0515463917525773,10.6701030927835,0.140396093326099,0.0801911674788013
"1966","FALL",76,133.058333333333,"MACKEREL","ATLANTIC MACKEREL",35,22,0.628571428571429,0.0454545454545455,1.59090909090909,0.020933014354067,0.0119564784185565
"1966","FALL",76,133.058333333333,"HERRING","BLUEBACK HERRING",3,3,1,0,0,0,0
"1966","FALL",76,133.058333333333,"SAND LANCE","NORTHERN SAND LANCE",1,1,1,0,0,0,0
"1966","FALL",76,133.058333333333,"POLLOCK","POLLOCK",52,52,1,0,0,0,0
"1966","FALL",76,133.058333333333,"HAKE","RED HAKE",150,97,0.646666666666667,0.0721649484536082,10.8247422680412,0.142430819316332,0.0813533583118274
"1966","FALL",76,133.058333333333,"HAKE","SILVER HAKE",1480,467,0.315540540540541,0.0856531049250535,126.766595289079,1.66798151696157,0.952714438196875
"1966","FALL",76,133.058333333333,"HAKE","WHITE HAKE",548,395,0.720802919708029,0.0329113924050633,18.0354430379747,0.237308461025983,0.135545385141665
"1967","FALL",87,152.25,"HERRING","ALEWIFE",112,67,0.598214285714286,0.223880597014925,25.0746268656716,0.288214101904272,0.164693772516727
"1967","FALL",87,152.25,"HERRING","ATLANTIC HERRING",65,42,0.646153846153846,0.0476190476190476,3.09523809523809,0.0355774493705528,0.0203299710688873
